,sentence,author
136,With a few grateful words to Holmes she bade us both good-night and bustled off upon her way.,Doyle
137,"“You work your own method, and I shall work mine.",Doyle
138,"“It were better for you, John Ferrier,” he thundered, “that you and she were now lying blanched skeletons upon the Sierra Blanco, than that you should put your weak wills against the orders of the Holy Four!”",Doyle
139,"I am sorry to intrude, but you heard how earnestly Holmes insisted that I should not leave you, and especially that you should not go alone upon the moor.""",Doyle
140,"You are a wronged woman, and shall have justice.",Doyle
141,But now I see that I was never anything but a tool in his hands.,Doyle
142,"“Yes, sir, there must have been some very strange people with some very strange ways in this house.",Doyle
143,"He is an elderly man, red-faced, white-haired, and choleric.",Doyle
144,"You are uneasy, as I understand, because your new lodger remains in his rooms and you cannot see him.",Doyle
145,"“There’s more work to be got out of one of those little beggars than out of a dozen of the force,” Holmes remarked.",Doyle
146,"A prodigiously stout man with a very smiling face and a great heavy chin which rolled down in fold upon fold over his throat sat at her elbow with a pair of glasses on his nose, looking very earnestly at the ladies who entered.",Doyle
147,"It is incredible, impossible, that it should really be outside the ordinary laws of nature.",Doyle
148,4_d_.,Doyle
149,"I am a light sleeper, and it has awakened me.",Doyle
150,I trust that he is kind to her.,Doyle
151,"That is The Cedars, and beside that lamp sits a woman whose anxious ears have already, I have little doubt, caught the clink of our horse’s feet.”",Doyle
152,"Well, Watson, I will not offend your intelligence by explaining what is obvious.",Doyle
153,“She will not sell.”,Doyle
154,“Then you may be so with me.”,Doyle
155,"The thickset chauffeur, who had seated himself by the table, pushed forward his glass with some eagerness.",Doyle
156,"It is true that if any sudden danger had threatened him I was too far away to be of use, and yet I am sure that you will agree with me that the position was very difficult, and that there was nothing more which I could do.",Doyle
157,"There was a sound as if he was shaking the dying man, and it was all that I could do to hold myself quiet in my hiding-place.",Doyle
158,Gregson looked quite crest-fallen.,Doyle
159,"""But why at such an hour?""",Doyle
160,"He was a large man with rounded shoulders, a massive head, and a broad, intelligent face, sloping down to a pointed beard of grizzled brown.",Doyle
161,"It was a fine, thick piece of wood, bulbous-headed, of the sort which is known as a ""Penang lawyer.""",Doyle
162,"And I should be glad to have change of this five-pound note.""",Doyle
163,"“Your experience has been a most entertaining one,” remarked Holmes as his client paused and refreshed his memory with a huge pinch of snuff.",Doyle
164,"As to Miss Violet Hunter, my friend Holmes, rather to my disappointment, manifested no further interest in her when once she had ceased to be the centre of one of his problems, and she is now the head of a private school at Walsall, where I believe that she has met with considerable success.",Doyle
165,"“I’m sure, Watson, a week in the country will be invaluable to you,” he remarked.",Doyle
166,“‘Most admirably.’,Doyle
167,"As long as all these questions were unsolved, I felt that sleep would be no easy matter, either for Holmes or myself.",Doyle
168,"Our gas was lit and shone on the white cloth and glimmer of china and metal, for the table had not been cleared yet.",Doyle
169,“Have you heard anything of the case?” he asked.,Doyle
170,"On the morning which followed his interview with the Mormon Prophet, John Ferrier went in to Salt Lake City, and having found his acquaintance, who was bound for the Nevada Mountains, he entrusted him with his message to Jefferson Hope.",Doyle
171,Exposure and want of wholesome food were wearing him out.,Doyle
172,"I turned, expecting to see Dr. Mortimer, but to my surprise it was a stranger who was pursuing me.",Doyle
173,At last my foot was on the threshold of his hiding place--his secret was within my grasp.,Doyle
174,"It must always be in the same relative position to the ventilator and to the rope—or so we may call it, since it was clearly never meant for a bell-pull.”",Doyle
175,"From this central point two long corridors extended the whole length of the building, from which all the bedrooms opened.",Doyle
176,"It is a short account of the facts elicited at the death of Sir Charles Baskerville which occurred a few days before that date.""",Doyle
177,"""Thank you;",Doyle
178,We had pulled up in front of a large villa which stood within its own grounds.,Doyle
179,"""But this is marvellous.",Doyle
180,"“I am sorry to hear this,” said he.",Doyle
181,"But every second night we made sure if he was still there by putting a light in the window, and if there was an answer my husband took out some bread and meat to him.",Doyle
182,"""If you have never worn them, why did you put them out to be cleaned?""",Doyle
183,"However, such as they are you can put them in your watchpocket.",Doyle
184,"""No,"" said Holmes;",Doyle
185,"“Why does fate play such tricks with poor, helpless worms?",Doyle
186,That night he sat up with his gun and kept watch and ward.,Doyle
187,That will do.,Doyle
188,"We planted them together, he and I, to mark the pathway through the mire.",Doyle
189,If we went round the moon it would not make a pennyworth of difference to me or to my work.”,Doyle
190,"No wind, and not a cloud in the sky.",Doyle
191,"He saw and he heard nothing, and yet in the morning a great 27 had been painted upon the outside of his door.",Doyle
192,"“Well, father was going off to France again in a week, and Hosmer wrote and said that it would be safer and better not to see each other until he had gone.",Doyle
193,"He hardly spoke a word the whole way out to the southern suburb, but sat with his chin upon his breast and his hat drawn over his eyes, sunk in the deepest thought.",Doyle
194,"“Yes,” he reported, after a short examination of the grass bed, “a number twelve shoe, I should say.",Doyle
195,"“We searched the garden that night, but found no sign of the intruder, save that just under the window a single footmark was visible in the flower-bed.",Doyle
196,"She was left with limited means, but with some very remarkable old Spanish jewellery of silver and curiously cut diamonds to which she was fondly attached—too attached, for she refused to leave them with her banker and always carried them about with her.",Doyle
197,"""How so?""",Doyle
198,"Well, the temptation of sudden wealth so easily acquired was too much for you, as it has been for better men before you; but you were not very scrupulous in the means you used.",Doyle
199,“The vanishing of the lady.”,Doyle
200,You see this little book?”,Doyle
201,"“It was a slight, sir, a public slight,” said Lord St.",Doyle
202,The station-master laughed heartily.,Doyle
203,"‘I shall not keep you waiting an instant,’ said he, and vanished into the darkness.",Doyle
204,“‘Quite so.,Doyle
205,I suppose there would be no chance of a train back.,Doyle
206,“I hain’t said none since I was half the height o’ that gun.,Doyle
207,"Coals of fire, Holmes—coals of fire!”",Doyle
208,"Upon rising next morning he found, to his surprise, a small square of paper pinned on to the coverlet of his bed just over his chest.",Doyle
209,"I would not have his cursed stock mixed with mine; not that I had any dislike to the lad, but his blood was in him, and that was enough.",Doyle
210,"We opened it, and the light of the lantern gleamed upon a collection of gems such as I have read of and thought about when I was a little lad at Pershore.",Doyle
211,"Lucy and her father would fain have rested longer, but Jefferson Hope was inexorable.",Doyle
212,“‘What have you in the bundle?’,Doyle
213,"Then I seized my coat, which was weighted by the coppers which I had just transferred to it from the leather bag in which I carried my takings.",Doyle
214,"""I feel that also, sir, and so does my wife.",Doyle
215,I congratulate you warmly.”,Doyle
216,"Sherlock Holmes was pacing up and down the platform, his tall, gaunt figure made even gaunter and taller by his long grey travelling-cloak and close-fitting cloth cap.",Doyle
217,The old man put on a very knowing expression.,Doyle
218,"As a rule, when I have heard some slight indication of the course of events, I am able to guide myself by the thousands of other similar cases which occur to my memory.",Doyle
219,"""Ha, I see that Cartwright has brought up some supplies.",Doyle
220,"""But are you sure of this, Holmes?",Doyle
221,Let me see if I can make it clearer.,Doyle
222,"""There seems to be danger.""",Doyle
223,He looked at me in a most singular fashion.,Doyle
224,"We may take it, then, that she does not carry it about with her.”",Doyle
225,"The ex-prize-fighter McMurdo had, I found, been arrested as an accessory, and both he and Mr. Sholto had been marched off to the station.",Doyle
226,"“On the face of it, it would appear to be a case of a very exceptional nature.",Doyle
227,"“They belong,” I said, “to a child or a small woman.”",Doyle
228,What _do_ you mean?”,Doyle
229,"“How do you know, then?”",Doyle
230,"“Sometimes I have thought that it was merely the wild talk of delirium, sometimes that it may have referred to some band of people, perhaps to these very gipsies in the plantation.",Doyle
231,"The red steps pointed towards us and led away from an inner room, the door of which was closed.",Doyle
232,“Yes.”,Doyle
233,"I asked,—“morphine or cocaine?”",Doyle
234,"“Oh, no, no!",Doyle
235,Simon.,Doyle
236,"“Why don’t you introduce this pattern at Scotland Yard?” he continued, taking a pair of steel handcuffs from a drawer.",Doyle
237,I’ll do the criminal part.,Doyle
238,"Here is Lafter Hall, which was mentioned in the narrative.",Doyle
239,"I am perfectly fresh now, and quite ready for another night’s outing.”",Doyle
240,"No sound came from within, and at the silence Holmes’ face clouded over.",Doyle
241,What's he waiting for?,Doyle
242,Now put the key on the inside.,Doyle
243,It is this infernal St.,Doyle
244,"His hands were clenched and his arms thrown abroad, while his lower limbs were interlocked as though his death struggle had been a grievous one.",Doyle
245,You said it should not be again.,Doyle
246,"You may be very smart and clever, but the old hound is the best, when all is said and done.”",Doyle
247,This was clearly Holmes’s doing.,Doyle
248,I tiptoed down the path and stooped behind the low wall which surrounded the stunted orchard.,Doyle
249,"Fortunately, it has not come out.",Doyle
250,"This is what he says:      “‘MY DEAR MR. SHERLOCK HOLMES,—Lord Backwater tells me that I may     place implicit reliance upon your judgment and discretion.",Doyle
251,"I had     been told that, if the King employed an agent, it would certainly     be you.",Doyle
252,The case is definite enough.,Doyle
253,“Then what has happened to him?”,Doyle
254,They looked out upon a croquet lawn which came up to the windows.,Doyle
255,"“‘But, madam,’ said I, ‘I have not yet done what I came for.",Doyle
256,"For that matter, Reading, and possibly other large towns, were within that radius, so the place might not be so secluded, after all.",Doyle
257,"He was a singular man, fierce and quick-tempered, very foul-mouthed when he was angry, and of a most retiring disposition.",Doyle
258,It is of importance.,Doyle
259,"The gunner turned damned nasty at the last, and I had to square him with an extra hundred dollars or it would have been nitsky for you and me.",Doyle
260,"Old as is the idea, however, there were one or two details which were new to me.",Doyle
261,“I have sworn it by the most solemn oaths which a man can take.”,Doyle
262,"""On the contrary, I have been to Devonshire.""",Doyle
263,Thence he could look down upon the home of the saints.,Doyle
264,"‘I must keep them,’ said he, ‘for they are so technical that it is impossible in the time to make copies.’",Doyle
265,"It seemed strange talk for a wedding-morning, but what has happened since gives a meaning to it.”",Doyle
266,It had wandered on to the moor and had never come back.,Doyle
267,"Steiner is the fifth man you’ve lost since I signed on with you, and I know the name of the sixth if I don’t get a move on.",Doyle
268,"Her father refused to have anything to do with her because she had married without his consent, and perhaps for one or two other reasons as well.",Doyle
269,He says that they are not human.”,Doyle
270,"""Then I understand that on your arrival in London yesterday you went out at once and bought a pair of boots?""",Doyle
271,“Irene’s photograph!” he cried.,Doyle
272,What is the result?,Doyle
273,"You notice those bright green spots scattered thickly over it?""",Doyle
274,"See how he has treated me!""",Doyle
275,I have it from the same source that you are both an orphan and a bachelor and are residing alone in London.’,Doyle
276,"After leaving the house he discovered his loss and hurried back, but found the police already in possession, owing to his own folly in leaving the candle burning.",Doyle
277,"We'll have a good look at him, if we can do no more.""",Doyle
278,The light still burned steadily in front.,Doyle
279,You recollect how annoyed I was at being balked by so small a thing?”,Doyle
280,"It was a curious way of managing it, but, really, it would be difficult to suggest a better.",Doyle
281,"Full of the one idea, I set myself to find out what had become of the Secretary.",Doyle
282,“And how did he make his money?”,Doyle
283,"After alluding airily to the Vehmgericht, aqua tofana, Carbonari, the Marchioness de Brinvilliers, the Darwinian theory, the principles of Malthus, and the Ratcliff Highway murders, the article concluded by admonishing the Government and advocating a closer watch over foreigners in England.",Doyle
284,There will probably be some small unpleasantness.,Doyle
285,It was no wonder that it had not been swept away by the tide.,Doyle
286,"He wanted her to sign a paper, so that whether she married or not, he could use her money.",Doyle
287,"‘By the way,’ said I, ‘you seem to have quite a suite of spare rooms up there, and one of them has the shutters up.’",Doyle
288,From the front window upon the left of the door there peeped a glimmer of a feeble light.,Doyle
289,I thought that it must be when I saw the door open.’,Doyle
290,On one corner of this was stuck the stump of a red wax candle.,Doyle
291,"""Yes, once or twice, when he came into Coombe Tracey.",Doyle
292,"I told Holmes how the matter stood, my heart bubbling over with thankfulness and joy.",Doyle
293,"He came over to call upon Baskerville on that first day, and the very next morning he took us both to show us the spot where the legend of the wicked Hugo is supposed to have had its origin.",Doyle
294,"""I don't know.",Doyle
295,There can be no doubt that it is a blood mark.”,Doyle
296,"Well, then, here on this page are the country folk, and the numbers after their names are where their accounts are in the big ledger.",Doyle
297,She is a stray chicken in a world of foxes.,Doyle
298,"Still, I could see no better course than to observe him from the hill, and to clear my conscience by confessing to him afterwards what I had done.",Doyle
299,What can it mean?,Doyle
300,"He was a strong-minded man, sir, shrewd, practical, and as unimaginative as I am myself.",Doyle
301,"""What can I tell you about him?"" she asked, and her fingers played nervously over the stops of her typewriter.",Doyle
302,"It was lying wide of the metals upon the left hand of the track as one goes eastward, at a point close to the station, where the line emerges from the tunnel in which it runs.",Doyle
303,“But how did you gain them?”,Doyle
304,"""The brute!"" cried Holmes.",Doyle
305,“It is wonderful!”,Doyle
306,Outside of a show I have never seen so tall a man.,Doyle
307,It was child’s play.”,Doyle
308,“The man that was clever enough to hunt me down is clever enough to pick an iron box from the bottom of a river.,Doyle
309,He was not studying medicine.,Doyle
310,"""There's our man, Watson!",Doyle
311,“Quite so.”,Doyle
312,I confess that I cannot see any possible way of reconciling all these facts.”,Doyle
313,I relapsed into my chair.,Doyle
314,"Then I walked to the other end, which was a hundred yards or more down the lane.",Doyle
315,"“‘No, no. This is only where we compress it.",Doyle
316,"The streets will be crowded, so I trust that you may be in safety.",Doyle
317,"That was the balance of probability, at any rate.”",Doyle
318,"As we approached it I heard the sharp rattling of a chain, and the sound as of a large animal moving about.",Doyle
319,"It was a bearded, hairy face, with wild cruel eyes and an expression of concentrated malevolence.",Doyle
320,"She shot her arms out from her sleeves, and we saw with horror that they were all mottled with bruises.",Doyle
321,"Then he dashed in wild pursuit amid the stream of the traffic, but the start was too great, and already the cab was out of sight.",Doyle
322,"If I lay on my face the weight would come upon my spine, and I shuddered to think of that dreadful snap.",Doyle
323,"“I have a respect for you, but if you were alone in this business I’d think twice before I put my head into such a hornet’s nest.",Doyle
324,"Among other things, he found that the height of the building was seventy-four feet, but on adding together the heights of all the separate rooms, and making every allowance for the space between, which he ascertained by borings, he could not bring the total to more than seventy feet.",Doyle
325,‘Hullo!’,Doyle
326,"But suppose you had a friend up here who lowered you this good stout rope which I see in the corner, securing one end of it to this great hook in the wall.",Doyle
327,In the present state of Siam it is most awkward that I should be away from the office.,Doyle
328,"And always, apart from the hound, there is the fact of the human agency in London, the man in the cab, and the letter which warned Sir Henry against the moor.",Doyle
329,"He was just white with rage, and those light eyes of his were blazing with fury.",Doyle
330,"""I cannot understand, Barrymore, how you came to conceal this important information.""",Doyle
331,"‘Main stair, first corridor, seventh right, green baize.’",Doyle
332,I was too terrified to raise my head.,Doyle
333,"What is the use of troubling Mr. Holmes with trifles of this kind?""",Doyle
334,"On one occasion he actually fired his revolver at a wooden-legged man, who proved to be a harmless tradesman canvassing for orders.",Doyle
335,Why did you not call in a doctor?”,Doyle
336,Surely you don’t think that it was I?,Doyle
337,"I have cross-examined these men, one of them a hard-headed countryman, one a farrier, and one a moorland farmer, who all tell the same story of this dreadful apparition, exactly corresponding to the hell-hound of the legend.",Doyle
338,How is he?”,Doyle
339,"I glanced at my companion, and his face had assumed such a disconsolate expression that it was all I could do to keep my countenance.",Doyle
340,"At Agra there were the 3rd Bengal Fusiliers, some Sikhs, two troops of horse, and a battery of artillery.",Doyle
341,Some delay was inevitable.,Doyle
342,"""Did he say so?""",Doyle
343,"They all preserve, however, the common characteristics of barrenness, inhospitality, and misery.",Doyle
344,"Tonga thought he had done something very clever in killing him, for when I came up by the rope I found him strutting about as proud as a peacock.",Doyle
345,"Read them and see if you can doubt the identity of these people.""",Doyle
346,"A heavily timbered park stretched up in a gentle slope, thickening into a grove at the highest point.",Doyle
347,"This other, however, prints ‘match’ when it should have been ‘matches.’",Doyle
348,Admirable!,Doyle
349,“And how did you get your clue?”,Doyle
350,"Therefore, we can say for certain that young Cadogan West was placed on it.”",Doyle
351,If he wants anything else he prints it on a slip of paper and leaves it.”,Doyle
352,"He said no more; but I fancy that I could guess at that lady’s august name, and I have little doubt that the emerald pin will forever recall to my friend’s memory the adventure of the Bruce-Partington plans.",Doyle
353,"""Welcome, Sir Henry!",Doyle
354,"“It was black enough before against this young man, but our inquiries make it blacker,” he remarked as the cab lumbered off.",Doyle
355,"A very patient man was that inspector in the cab, for it was a weary time before I rejoined him.",Doyle
356,You broke the thread of my thoughts; but perhaps it is as well.,Doyle
357,"My hand-mirror had been broken, so a happy thought seized me, and I concealed a piece of the glass in my handkerchief.",Doyle
358,It is my treatment of poor Morstan’s orphan.,Doyle
359,Holmes scribbled a receipt upon a sheet of his note-book and handed it to him.,Doyle
360,"‘It is high, but it may be that you can jump it.’",Doyle
361,I have not seen a paper for some days.”,Doyle
362,"And the messenger of good fortune was none other than Mr. Frankland, who was standing, gray-whiskered and red-faced, outside the gate of his garden, which opened on to the high road along which I travelled.",Doyle
363,I came away baffled and disheartened.,Doyle
364,"“Now that Gorgiano is dead we fear nothing,” said the lady.",Doyle
365,"""I have brought off a double event.",Doyle
366,"“Certainly, Mr. Holmes.",Doyle
367,"Then came rows of two-storied villas each with a fronting of miniature garden, and then again interminable lines of new staring brick buildings,—the monster tentacles which the giant city was throwing out into the country.",Doyle
368,I’ll have him out of my house before the day is done.”,Doyle
369,Observation tells me that you have a little reddish mould adhering to your instep.,Doyle
370,Let us turn to something brighter.,Doyle
371,"“You have done excellent work,” said Holmes, scribbling a few words upon a half-sheet of paper.",Doyle
372,“Quite so.,Doyle
373,"“Nothing to complain of, sir.",Doyle
374,"I should not like to suggest false hopes, Miss Morstan, but is there any resemblance between this hand and that of your father?”",Doyle
375,"""Do you mean danger from this family fiend or do you mean danger from human beings?""",Doyle
376,I got it from over-exposure and under-feeding among the Salt Lake Mountains.,Doyle
377,"“That, at least, is very easily settled,” said Holmes, lighting his little pocket lantern.",Doyle
378,"Yes, yes;",Doyle
379,"I took him in hand, though he was as venomous as a young snake, and after a couple of months I got him all right and able to walk.",Doyle
380,"“I should be ungrateful if I were not, seeing what I gained through one of them,” I answered.",Doyle
381,“You were yourself struck by the nature of the injury as recorded by the surgeon at the inquest.,Doyle
382,"“Well, did you see him, Watson?”",Doyle
383,"The diagram upon it appears to be a plan of part of a large building with numerous halls, corridors, and passages.",Doyle
384,“I should like to see him very much.”,Doyle
385,"“Quite an interesting study, that maiden,” he observed.",Doyle
386,"It is suggestive that Anthony is not a common name in England, while Antonio is so in all Spanish or Spanish-American countries.",Doyle
387,Holmes laughed good-humouredly.,Doyle
388,"Have the goodness, also, when you address me always to say ‘sir’ and ‘please.’”  “All right,” said Jones with a stare and a snigger.",Doyle
389,“What!”,Doyle
390,"“All you desire is a plain statement, is it not?”",Doyle
