,sentence,gender
47,"right honorable and my very good lorde, whereas i am informed by suche as of late are come owte of irelande that my ladye woormonde my sister is not so well used by my lorde her husbande as i would wishe her to be: and nature movinge me to learne further of the truthe herein, i am so bolde at this presente (hearinge of your lordshipps late arrival owt of those partes) to desire your lordship that yt maye please you by your lettr's to signifye onto me whether you understande there be anye suche mislikinge betwene them or not, and the caus's thereof, to the inde i maye travell therein accordingly.",m
48,"Trustinge also that yf she be not well dealte withal and used as she ought to be, that then your lordshipp will make reaporte of the same to suche of the councell as maye healp to redresse the matter, and my suite to be made for her the better furthered.",m
49,"And in so doinge i must nead's acknowledge myselfe bothe very moche beholden onto your good lordshippe, and she also, for her parte, moste indebted contynuallye to pray to the almighty for the preservation of your lordship with the increace of muche honoure.",m
50,"From my castell of berkeley, the xxvj=th=. of maye, 1564.",m
51,Your lordshipps assured    henry berkeley.,m
52,"To the right honorable and my very good lorde the earle of sussex, yeve these.",m
53,"your h. desyerethe from tyme to tyme to here of our doyngs here, and, as the worlde framethe amongeste us, presentlye i perceave that i will lacke no matter to wryte of.",m
54,"Yester daye, beinge sondaye, the ban's of matrimony were askede in s=t=.",m
55,"Gil's churche betwene thys quene and the lord darlye in that sorte as i sente your h. a byllet in wrytinge, saving that she was fyrste named.",m
56,"After dyner, with all the solemniti's requisite, he was created duke of  albanie, so that upon sondaye nexte withowte all dowte the mariage goethe forwarde, but yet uncertayne whether yt shalbe in the churche whear the ban's were asked, in the abby churche, or in her owne chappell.",m
57,"Her force remaynethe contynnuallye with herr, and proclamation made thys daye that no man upon payne of deathe will departe owte of the towne for x. day's.",m
58,"The daye of lawe agaynste the iiij bourgois men of thys towne is lyke to holde, for anye thynge that she cane be perswaded to the contrary.",m
59,"Yf so be that they do compere, the protestants have bounde them selv's to assyste them with all the force that they are hable to mayke.",m
60,The daye is upon thurseday nexte.,m
61,"Thys counsell is nowe augmented by one copple mo then were before of worthye counsellors, that upon saterdaye with no smale force came to thys towne, the earle athal and l.",m
62,Ruthen.,m
63,So are ther nowe present the l.,m
64,"Chauncelor, l.",m
65,"Athall, l.",m
66,"Ersken, l.",m
67,"Ruthen, and the secretarie; some other are admitted to stonde by, of the noble men that are here present.",m
68,"My lord of murraye hathe playnelye refused to come amonge their hands whome he hathe so good occasion to suspecte, and therfore yt was yesterdaye in consultation whether yt were beste to have hym proclamed rebell thys daye or not; whear onto some among the lords dyscented.",m
69,"I knowe not yet what will become of yt, nor who their were that dyscented.",m
70,"I here saye that the quene will thys daye despache a man, i know not yet whome, towards the quene's ma=tie=, i thynke some frenche man, bycause of the emb. from whome she hathe all her intelligens.",m
71,"Ther is one lassells that dwellethe bysyds toplyf, a cunnynge dealer betwene thys countrye and that.",m
72,"Maye yt please her ma=tie= that i may knowe her pleasure for suche inglisshemen as are here, or others that come.",m
73,Moste humblye i tayke my leave.,m
74,"At edenbourge the xxiiij=th=. of julye, 1565.",m
75,Yo=r= h. allway's at commaund    tho.,m
76,Randolphe.,m
77,To the right honorable s=r=.,m
78,William scicill knight principal secretory to the q.,m
79,Ma=tie=.,m
80,maye yt please yo=r= h.,m
81,"I have receaved the quene's m=ts=. lettre of the seconde of this instant, and therby understonde her mat=s=. mynde touchynge the commissioners appoynted by this quene according to her mat=s=. will.",m
82,"I have spoken agayne with this quene that some other noble man of lyke quality myghte be appoynted in my lord bothewell place, whearunto her grace hathe not yet accorded, but hathe promised to conferr with her counsell ther in, and to gyve me a resolute answer therof within iij. or iiij. dayes, w=ch= tyme i do attende, and in the meane season wolde not that yo=r= h. sholde thynke longe for my lettres; for with more expedition i cane not bringe these matters to that passe that is to be desyered.",m
83,I thoughte good also t'advertyse yo=r= h. that this daye roberte melvin is despached from hens towards the quene's ma=tie= from the quene.,m
84,His cheif commission is to see what the quene's ma=tie= will do for this quene towards the succession in favour of my lord of murraye and his complic's.,m
85,"He muste also sue for my lady lenox deliverie, and other wyse see what freindship he cane mayke amonge such as are well wyllinge towards her and howsbonde, that none be preferred to them in their pretended righte.",m
86,"The best couller that he cane use is to be suter for the lord, and in the meane season maye deale with other as he cane fynde occasion.",m
87,Yt is thought that anye thynge that this quene cane desyer wilbe the easlyer accordyd for the greate number of her favorers in the quen's ma=ts= reaulme.,m
88,"I will not neade nor wyll not be so bolde as t'advize you to stonde harde to yo=r= centere, but i assure you i see this parte of the circumferense shrewedlye inclined, and to beare a greate swaye to yo=r= hurte, yf yt be not looked onto.",m
89,Yt hathe byne openlye saide by this quene that she wyll have the masse free for all men that wyll here yt.,m
90,"Her howsbonde, his father, lord athall, and other, nowe daylye resorte to yt.",m
91,The protestants in suche feare and dowte of them selv's that they knowe not what will become of them.,m
92,"The wyseste so myche meslyke this state and goverment, that they desyer nothynge more then the retorne of the lords, ether to be receaved in their owne rowm's or ons agayne to put all in hazarde.",m
93,Yesterdaye the lord darlye receaved the order.,m
94,The emb. bothe dyned and supped with hym.,m
95,This daye he dynethe with the quene; tomorrowe with the counsell; upon wensedaye in the castle; and thursedaye departethe.,m
96,"The solemnity was greate, the moste parte of the nobility present.",m
97,"Ther went with hym to the masse, his father, earl's athal and cassels, and lord seton.",m
98,Thus myche i thought good to wryte onto your h. attendinge suche answer as i will gette touchynge the commissioners.,m
99,Moste humblye i tayke my leave.,m
100,At edenb. the x=th=. of february 1565.,m
101,Yo=r= h. indebted at commande    tho.,m
102,Randolphe.,m
103,To the righte honorable s=r=.,m
104,William cecill knighte principal secretary to the quen's ma=tie=.,m
105,"mam    although we heare that sinse the death of your husband, our late ambassador, s=r= thomas hoby, you have received, in france, great and comfortable courtesy's from the french king, the queen mother, the queen of navarre and sundry others, yet we made accompt that all these layd together cannot so satisfye you as some testimony and sparke of our favour, with the application of the late service of your husband, and of your own demeanour there: where though you will receive it somewhat lately in time, yet we assure you the same proceede only of the late knowledge of your return.",f
106,"And therefore we let you know that the service of your husband was to us so acceptable, as next yourself and your children we have not the meanest loss of so able a servant in that calling.",f
107,"And yet sinse it has so pleased god to cal him in the intry of this our service, we take it in the better part, seeing it has appeared to be gods pleasure to cal him away, so favourably to the service of him, especially in the constancy of his duty towards god, wherein, we hear say, he dyed very commendably.",f
108,"And for your self, we cannot but let you know that we hear out of franse such singular good reports of your duty well accomplished towards your husband, both living and dead, with other your sober, wise, and discreet behaviour in that court and country, that we think it a part of great contentation to us, and commendation of our country, that such a gentlewoman has given so manifest a testimony of virtue in such hard tim's of adversity.",f
109,"And therefore though we thought very well of you all before, yet will we hereafter make a more assured account of your virtu's and gifts, and wherein soever we may conveniantly do you pleasure, you may be thereof assured.",f
110,"And so we would have you to rest yourself in quietness, with a firm opinion of our especial favour towards you.",f
111,Given under our signet at our city of oxford the.. of september 1566: the eight year of our reign.,f
112,"Your loving friend elizabeth, r.",f
113,"righte honorable, after my humble duety to your honor remembred, pleasethe the same to be advertised that i (allthough most unworthie) being by dyvysion lymytted under your honor and mr. Deane to the city of westminster and lyberti's of the same, aswell for thexamynacion of rogu's and sturdye vagabond's and masterlesse men, as also for to punyshe other inormyti's and mysdemeanors theare; to the whiche precincte above other in the shire, in th'absense of your honor (and the said mr. Deane) i thinck myself more indebted to have a vigillant eye then if the same mr. Deane weare at home, or your honor somewhat nearer.",m
114,"And repayring there this daye (as comonly i doo but on's everye fortenight yf i have no especial cause), but this is the thirde tyme of my goinge there, to examyn a lewde persone whoe hathe stolen diverse parcells of brass and copper that did adorne the tombe of the late kinge of famouse memory henry the seventhe and queene elizabe his wife.",m
115,"And at my nowe comynge there mr. Staunton and others of th'inhabitants of the said cytie, gave me to understande thatt there was a great disorder in or near long acre, by reason of certain gam's that were proclaymed there to be exercised, wheare indede theare was none used but one only game, called riflinge, by which they saide diverse persons weare spoyled and utterly undon.",m
116,"Wheruppon i comaunded mr. Colbrande the highe constable of the saide cyty and lyberti's (taking with hym suche nomber of petit constabl's and others as to his discression sholde seme mete, and sendinge before worde to the constable of s=t=.",m
117,"Gyl's in the field's to mete hym theare) to goe there, and not only to apprehende all person's that sholde be founde theare usinge the same game, but also them that kepte the same gam's.",m
118,"And i my self went also there for the quieter apprehendinge of them, for i was informed by the said mr. Staunton that theare was a very greate nomber, and the nomber i thinck was muche the greater by reasone of the concourse of people there to se one lyinge theare that was slayne theare this mornyng.",m
119,"Wheruppon the keper of the same gam's was broughte before me, but none of them that played theare: and yet one of my owne servants, whom i sent pryvyly there for that purpose, did see that game of ryflinge in use theare at that tyme.",m
120,But i thincke pryvy warnynge was gyven when i was perceyved to bende my selfe that waye.,m
121,"Maye it please your honor, i commytted the keper of the same game to warde, meanynge neverthel's uppon sute to bayle hym untill the general sessions.",m
122,"And forasmuche as he is one of the quene's majestie's servants, and hathe a lycense for laufull gam's signed by th'and's of the right honorabl's the lorde stewarde, the lorde of arrundell, and the lorde of leicester (the copye wherof i have taken and intende to kep the same), and he was in tym's past servant to the saide lorde of arrundell.",m
123,"And for that before this tyme i have had some stoute and sharp word's when i have don even favorable justice to honorable mens servants, and doubting what synister complainte may be now againste me to any of honorable personag's abovenamed, i have thought good to make your honor pryvy of this my doinge, humbly praying your good honor's ayde if i will have nede of the same.",m
124,"And beinge very sory to trouble your honor with this my longe rude lettre, i comytt the same to the tuyssion of the allmighty whoe ever preserve you in helthe and welthe longe to contynue, with increase of much honor.",m
125,Written the fourth of this september 1569.,m
126,"Your honor's to commande to my little power    bernard randolph, commen serjiant of london.",m
127,"To the right honorable man william cecyll knight, principal secretary to the quene's majesty be theis gyven withe good spede.",m
128,"after my harty comendacions to yo=r= good lordshippe, here inclosed i sende you a lettre of mr assheton's which shuld have bene delyvered some day's sythens.     i am now going to prepare for her ma=ties= coming to woborne, which shalbe done in the best and most hartiest maner that i can.",m
129,"I trust yo=r= l. will have in remembraunse to provide and help that her ma=ts=. tarieng be not above two nights and a daye; for, for so long tyme do i prepare.",m
130,I pray god the rowm's and lodgings there may be to her ma=ts=. contentacion for the tyme.,m
131,"If i could make them better upon suche a sodeyn, then wold i, be assured.",m
132,They should be better then they be.,m
133,"So w=t= my harty thanks to yo=r= good l. remayning alway's as i have just cause yo=rs=, do so committ you to gods keping.",m
134,From russell house this xvj=th=. of july 1572.,m
135,Yo=r= l. right assured    f.,m
136,Bedford.,m
137,"To my very good lord the lord burghley, highe treasurer of ingland.",m
138,"my singuler good lord, uppon thursday at even, her majesty in her cooche, near islyngton, taking of the aier, her highn's was invironed with a nosmber of roog's.",m
139,"One mr stone a footeman cam in all have to my lord maior, and after to me, and told us of the same.",m
140,"I dyd the same night send warants owt into the seyd quarters and in to westminster and the duchie: and in the mornyng i went a brood my selff, and i tooke that daye lxxiiij roogs, whereof some were blynd and yet great usurers, and very riche: and the same daye towards night i sent for mr. Harrys and mr. Smithe and the governors of bridwell, and tooke all the nam's of the roogs; and sent theym frome the sessions hal onto bridwell where they remayned that night.",m
141,"Upon twelff daye in the forenoone, the master of the rolls, my selff, and others receyved a charge before my lords of the counsell as towching roogs and masterl's men, and to have a pryvy searche.",m
142,"The same daye at after dyner (for i dyned at the rolls) i mett the governors of bridwell, and so that after nowne we examined all the seyd roogs and gave theym substancial payment.",m
143,And the strongest we bestowed in the mylne and the lighters.,m
144,The rest wee desmyssed with a promize of a dooble paye if we mett with theym agayne.,m
145,"Upon sounday being (\crastino\) of the twelfth daye, i dyned with mr deane of westminster, where i conferred with hym towching westminster and the duchie, and then i tooke order for southwarke, lambeth, and newyngton, from when i receyved a shooll of xl. rooggs, men and women, and above.",m
146,I bestowed theym in bridwell.,m
147,"I dyd the same after nowne peruse pooles, where i tooke abowt xx=ti= cloked roogs that there use to kep standing.",m
148,I placed theym also in bridwell.,m
149,"The next mornyng, being mounday, the mr: of the roolls and the rest tooke order with the constabl's for a privy searche ageynst thursdaye at night, and to have the offendors browght to the sessions hal upon frydaye in the mornyng where wee the justic's shold mete.",m
150,And agaynst the same tyme my lo.,m
151,Maior and i dyd the lyke in london and sowthworke.,m
152,"The same afternowne the masters of bridwell and i mett, and, after every man being examined, eche one receyved his payment according to his deserts; at whiche tyme the strongest were put to worke and the other dismissed into theire countri's.",m
153,"The same daye the mr. of the savoye was with us and sayd he was sworne to lodge "" (\claudicantes, egrotantes, et peregrinantes\) ;"" and the next mornyng i sent the constabl's of the duchy to the hospital and they browght onto me at bridewell vj. tal fellow's that were draymen onto bruers and were neither "" (\claudicantes, egrotantes\) , nor (\peregrinantes\)."" the constabl's if they might have had theyre owen wills wold have browght as many moo.",m
154,"The master dyd wryte a very curtese letter onto us to produce theym: and although he wrott charitably onto us, yet were they all sowndly payed, and sent home to thare masters.",m
155,"All tewsday, weddensdaye, and thursdaye there cam in nosmbers of roogs; they were rewarded all according to theire deserts.",m
156,"Upon frydaye mornyng, at the justice hall, there were browght in above a c. lewed people taken in the privy searche.",m
157,"The m=rs=. of bridwell receyved theym, and immediatly gave theym punishment.",m
158,"This satterday, after caus's of consciens herd by my lord maior and me, i dined and went to polls and in other plac's as well within the libert's as els where, and i founde not one rooge stirryng.",m
159,"Emongest all these thyngs i dyd note, that we had not of london, westm. nor sowthwarke, nor yet midd. nor surr. above twelve, and those we have taken order for.",m
160,"The resedew for the most were of wales, salop, cestr.",m
161,"Somerset, barks, oxforde, and essex; and that fewe or none of thaym had ben abowt london above iij. or iiij. mownth's.",m
162,I dyd note also that we mett not agayne w=th= any in all our search's that had receyved punishment.,m
163,"The chieff nursery of all these evell people is the savoye, and the bric kiln's nere islyngton.",m
164,"As for the bric kylnes, we will take suche order that they will be reformed.",m
165,"And i trust by yo=r= good lordship's help the savoye will be amended; for suerlie, as by experiens i fynd it, the same place, as it is used, is not converted to a good use or purpose.",m
166,And this will suffice for roogs.,m
167,"Upon weddensdaye last a frenche merchaunt, in a bagge sealed, delivered to a cariers wiff of norwich xl=li= to be caried to norwich.",m
168,"She secretly conveyed the money to a howse a good way off frome the inne, and within half a quarter of an houre the frenche merchaunt cam agayne to se his money packed up.",m
169,But the woman denyed that ever she received any one penny with such horrible protestacions as i never herd of before.,m
170,M=r=.,m
171,"Secretary walsingham wrote me his letters for the ayde of the frenche man, and after great searche made, the money was founde and restored.",m
172,"She not knowing of the same, i examined her in my study privatlie, but by no mean's she wold not confesse the same, but dyd beque her selff to the devell, both body and sowle, if she had the money or ever sawe it.",m
173,"And this was her craft that she then had not the money, and in dead she sayth the trowth, for it was eyther at her frynds where she left it, or els delyvered.",m
174,"And then i perceyving her fewke, i asked her whether the frenche merchant dyd not bring her a bagge sealed full of metal that was weightie, were it either platts, coyne, cownters, or suche lyke: then, quoth she, i will aunswer no further.",m
175,And then i used my lo.,m
176,"Maiors advise, and bestowed her in bridwell, where the masters and i sawe her punished; and, being well whipped, she sayd that the devell stood at her elbowe in my studie, and willed her to denye it.",m
177,But so soon as she was upon the crosse to be punished he gave her over.,m
178,And thus my singuler good lo.,m
179,I ind this tragical part of this wicked woman.,m
180,This mornyng the deputy of holborne and two of the wardmot inquest browght me this examination.,m
181,I send for the party.,m
182,He was browght before my lord maior and me.,m
183,And we have commanded hym to warde expecting yo=r= good lo. advize as towchinge his offens.,m
184,"Thus most humbly i send onto yo=r= good lo. this last weeks diarye, ceasing at this tyme to troble yo=r= honer any further.",m
185,At bacon howse this 14 of ja.,m
186,1581. Your good lo. most indebted w.,m
187,Fletewoode.,m
188,To the right honorable and my singuler good l.,m
189,My lo.,m
190,High treaso=r= of ingland.,m
191,"right honorable    sithens your lo. last being here in london there have ben twoo great feasts, the one at the grosers-hall, the other at the haberdashers-hal.",m
192,"At the haberdashers feast was my lord maior, and divers of his brethern, with myselff, where my lo.",m
193,"Maior after the second course come inne dyd take the great standing cupp of the gift of man william garrett, being full of ypocraze, (and silense being commaunded throwgh all the tables) all men being bare-headed, my Look, before all men dyd use these words with a convenyent lowd voyce ""mr. Recorder of london and yow my good bretherne the aldermen, beare witn's that i do drynke onto mr. Alderman massam as shereff of london and midd. frome mighelmas next comming, for one holl yere; and i do beseche god to graunt hym as quiett and peaceable a yere with as good and gratious favor of her maiesty as i my selff and my brethern the shereffs now being have hytherto had, and as i trust will have."" this spoken, all men desired the same.",m
194,"The sword-bearer in have went to the grosers ffeast, where mr. Ald=n=.",m
195,Massam was at dyner; and there dyd openly declare the words that my lo.,m
196,"Maior had used: whereunto (silens made and all being hushe) the alderman aunswered very modestly in this sort, ""first i thanke god who through his great goodness haith called me frome a very poore and meane degree onto this worshipfull estate.",m
197,Secondly i thanke her majesty for her gratious goodn's in allowing onto us these great and ample fraunchis's.,m
198,Thirdly i thank my lo.,m
199,"Maior for having so honorable an opinion of this my company of grocers as to make choize of me being a poore member of the same."" and this said, bothe he and all the company pledged my lord and gave hym thanks.",m
200,M. Nowell of the court haith lately been here in london.,m
201,He caused his man to geve a blowe onto a carrman.,m
202,His man haithe stricken the carrman with the pumell of his sword and therwith haith broken his skelle and killed hym.,m
203,M=r=.,m
204,"Nowell and his man are lyke to be indicated; whereof i am sure to be muche trobled, what with lettr's and his frynds, and what by other mean's as in the very like case heretofore i have byn even with the same man.",m
205,Here are sundery yonge gentilmen that use the court that most commonly terme theymselffs (^gyntylmen^).,m
206,"When any of these have done any thinge amisse and are compleyned of, or arrested for debt, they then runne onto me, and no other excuse or aunswere can they make but saye "" (^i am a jyntylman, and being a jyntylman i am not thus to be used at a slave and a colions hand's.^) "" i know not what other parlee mr. Nowell can pled; but this i say, the fact is fowle.",m
207,God send hym good deliverans.,m
208,I thinke in my consciense that he makethe no reckenyng of the matter.,m
209,Hit was my chaunse to examine a matter in the court holden at bridwell.,m
210,I have ben complayned of to the counsel bord.,m
211,I was sent for.,m
212,M=r=.,m
213,"Secretary received my aunswer, and told the compleynaunts that they had deserved to be hanged and this is the case.",m
214,Abraham of abraham a gentilman of an hundred pound land in com.,m
215,Lanc. put his dawghter and heire onto my lady gerrerd of the brenne.,m
